	admin_level	cluster_frequency	correct	country_code	country_rank	edit_distance	feature_class	feature_code	has_mpoly	has_pcode	is_country	is_highest_population	is_lowest_admin_level	matches_topic	median_distance	popularity	population
0	None	0	0	US	2	0	T	MT	False	False	False	False	False	False	202.0	0	0
1	None	0	0	AF	999	0	P	PPL	False	False	False	False	False	False	52.0	0	0
2	None	0	0	CN	999	0	S	HTL	False	False	False	False	False	False	43.0	0	0
3	4	0	0	None	999	0	None	None	True	True	False	False	True	False	38.0	0	0
4	None	0	0	SS	13	0	H	WAD	False	False	False	False	False	False	69.0	0	0
5	None	0	0	PG	20	0	P	PPL	False	False	False	False	False	False	56.0	0	0
6	None	0	0	NP	18	0	P	PPLL	False	False	False	False	False	False	50.0	0	0
7	None	0	0	JP	27	0	P	PPL	False	False	False	False	False	False	42.0	0	0
8	None	0	0	IN	3	0	P	PPL	False	False	False	False	False	False	51.0	0	0
9	None	0	0	CF	19	0	H	STM	False	False	False	False	False	False	86.0	0	0
10	None	0	0	BJ	25	0	H	STMI	False	False	False	False	False	False	98.0	0	0
11	None	0	0	BF	24	0	P	PPL	False	False	False	False	False	False	104.0	0	0
12	None	0	0	IN	3	0	P	PPL	False	False	False	False	False	False	48.0	0	0
13	None	0	0	IN	3	0	H	STM	False	False	False	False	False	False	49.0	0	0
14	None	0	0	ES	22	0	P	PPL	False	False	False	False	False	False	110.0	0	0
15	None	0	0	MG	999	0	P	PPL	False	False	False	False	False	False	71.0	0	0
16	None	0	0	AU	8	0	L	PRK	False	False	False	False	False	False	74.0	0	0
17	None	0	1	LY	1	0	P	PPL	False	False	False	True	False	False	90.0	0	109972
18	None	0	0	VN	999	0	H	STM	False	False	False	False	False	False	32.0	0	0
19	None	0	0	VN	999	0	P	PPL	False	False	False	False	False	False	30.0	0	0
20	None	0	0	VN	999	0	P	PPL	False	False	False	False	False	False	29.0	0	0
21	None	0	0	VN	999	0	P	PPL	False	False	False	False	False	False	30.0	0	0
22	None	0	0	VN	999	0	P	PPL	False	False	False	False	False	False	30.0	0	0
23	None	0	0	VN	999	0	P	PPL	False	False	False	False	False	False	30.0	0	0
24	None	0	0	VN	999	0	P	PPL	False	False	False	False	False	False	30.0	0	0
25	None	0	0	VN	999	0	P	PPL	False	False	False	False	False	False	30.0	0	0
